lunchbox;eten
lobbying;uitoefenen van invloed
malvezij;drank
jazzclub;culturele plaats
ijslolly;koude lekkernij
hobbykok;thuiskok
maquette;model
juryteam;Panel
leukocyt;afweersysteem
jerrycan;container
kerfbijl;werktuig
luxaflex;jaloezieën
mycelium;hyfen
golfclub;sport instrument
huilbaby;nachtmerrie
katzwijm;flauwte
juffrouw;algemeen eerste liefde
playoffs;eindronde
babymelk;natuurlijk
joystick;bewegings controller
hectisch;chaos
koplicht;Navigatiedeel van schepen
quoteren;evenredig verdelen
lymfevat;menselijke drainagesysteem
recyclen;hergebruiken
oxymoron;stijlfiguur
nachtbus;vervoersdienst
showbizz;een industrie
gezwicht;hij is ...
kilobyte;Unit
